"Background Desktop","桌面版背景圖"
"Background Mobile","手機版背景圖"
"Hint text","提示文字提示文字"
"Main color of the roulette","轉盤主色"
"Main text color of the roulette","轉盤主文字顏色"
"Secondary color of the roulette","轉盤次色"
"Secondary text color of the roulette","轉盤次文字顏色"
"Main color of the winning record","中獎紀錄主色"
"Base frame color 1","底框色 1"
"Base frame color 2","底框色 2"
"Base frame color 3","底框色 3"
"Update Layout","更新版面配置"
"Daily X Times","「每日可抽 X 次」"
"Fixed X Times","「固定次數- X 次」"
"Spin to Win Button","抽獎按鈕設定"
"Show Spin to Win Button","設定是否開啟懸浮紐"
"Spin to Win image","抽獎圖片"
"Update Button","更新按鈕"
"Spin Wheel Form","轉盤表單"
"Center Color","中心顏色"
"Center Logo","中心 Logo"
"Pin image","指針圖片"
"Segment Font Size","區段字體大小"
"Update Spin Wheel","更新轉盤"
"The event doesn't exist.","該事件不存在。"
"Publishing failed, please try again.","發布失敗，請重試。"
"Published successfully.","發布成功。"
"Error creating coupon code for customer.","為客戶建立折扣代碼時出錯"
"Prize label","獎品名稱"
"You have run out of spins to redeem today.","您今天已經沒有可兌換的抽獎次數了。"
"Today's quota has been reached.","今日名額已截止。"
"Prize low stock notification","抽獎活動獎品低庫存通知信"
"Lucky draw low stock notification","目前獎品低於您設定的低庫存提醒設定，請檢查以下獎品，謝謝"
"Remain Quantity","剩餘數量"
"Threshold","低庫存警示門檻"
"Dear %name","親愛的%name"
"There are %1 spins available to claim this prize, please enter a number greater than the number of spins already made.","有%1次旋轉可領取此獎品，請輸入大於已旋轉次數的數字。"
"To fully enjoy this event, please sign in to your account. Thank you.","為了讓您完整體驗活動內容，請先登入您的帳號。謝謝。",
"We're sorry, but this event could not be found. Please try again later.","很抱歉，無法找到此活動，請您稍後再試。"
"Your membership level does not meet the eligibility requirements for this event. We appreciate your understanding.","您的會員身份不符合本活動參加資格，敬請見諒。"
"Event Not Found", "找不到活動"
"Unable to Join This Event", "無法參加此活動"
"The default value is 0. The higher the value, the higher the priority.","預設值為 0，數值越高，代表優先順序越高。"
"X Points = 1 Draw","X 點 = 1 次抽獎機會"
"Label is shown on the wheel.","標籤會顯示在轉盤上。"
"Heading is shown on result form as {{Success Title}}.","標題將以 {{Success Title}} 顯示於結果表單上。"
"Description is shown on result form as {{Success Description Text}}.","說明文字將以 {{Success Description Text}} 顯示於結果表單上。"
"Maximum number of times it can occur.","可發生的最大次數。"
"Gravity/Probability of occurrence between 0-100."," 發生機率，範圍為 0–100。"
"To manage position on the spin wheel.","用於管理轉盤上的位置"
"Maximum 23 next months","最多為未來 23 個月。"
"Use for frontend and email.","用於前台與電子郵件。"
"Customize","自訂。"
"Reward Point","獎勵點數。"
"Reward Point Expire month","獎勵點數到期月份。"
"Points Account","點數帳戶。"
"Campaign Title","活動標題。"
"Campaign Title 2","活動副標題。"
"Hint title","提示標題。"
"Spin to Win button data successfully saved.","「轉盤抽獎」按鈕資料已成功儲存"
"Spin wheel data successfully saved.","轉盤資料已成功儲存。"
"Pool Name","球池名稱。"
"Product Expiry Date","商品到期日。"
"Actions","操作項目。"
"Can't save the Spin to win if total odds of prizes are different from 100.","如果獎項的總機率加總不是 100，將無法儲存轉盤抽獎設定。"
"Can't save the Spin to win if total odds of prizes are different from 100.","如果獎項的總機率加總不是 100，將無法儲存轉盤抽獎設定。"
"Delete segment success","刪除區段成功"
"Segment successfully deleted.","區段已成功刪除"
"Manage Status","管理狀態"
"Delete Selected Campaigns","刪除所選活動"
"record","記錄"
"Record","記錄"
"Event Report","活動報表"
"Something went wrong with processing the default view and we have restored the filter to its original state.","預設檢視處理時發生錯誤，我們已將篩選器重置為原始狀態。"
"Are you sure want to delete?","您確定要刪除嗎？"
"Please use 54px X 54px images.","請使用 54px X 54px 影像。"
"Please use 62px X 43px images.","請使用 62px X 43px 影像。"
"Publish","發布"
"Done","完成"
"Browse Files...","瀏覽檔案..."
"Do you want to publish the event?","您想發布該活動嗎？"
"Maximum length: %1 characters","最高字數限制：%1 字元"
"Layout data successfully saved.","活動版面已成功儲存"
"Consolation data successfully saved.","安慰奖数据已成功儲存"
"You have spins left, spin them all. If you don't see any spins, you can refresh the page.","您還有剩餘轉盤次數，請盡快使用。如果您看不到轉盤次數，請重新整理頁面。"
